SeqID	startPosition	endPosition	GCcontent	GCskew
CP003879.1	27000	28000	0.3754	0.0827
CP003879.1	27200	28200	0.3794	0.0607
CP003879.1	27400	28400	0.3894	0.0334
CP003879.1	27600	28600	0.3804	0.0158
CP003879.1	27800	28800	0.3764	-0.0106
CP003879.1	28000	29000	0.3483	0.0172
CP003879.1	28200	29200	0.3203	-0.0625
CP003879.1	28400	29400	0.3013	-0.0365
CP003879.1	28600	29600	0.3053	-0.0361
CP003879.1	28800	29800	0.3093	-0.0809
CP003879.1	29000	30000	0.3333	-0.0811
CP003879.1	29200	30200	0.3594	-0.0418
CP003879.1	29400	30400	0.3914	-0.1049
CP003879.1	29600	30600	0.3934	-0.0992
CP003879.1	29800	30800	0.3884	-0.0928
CP003879.1	30000	31000	0.3764	-0.0851
CP003879.1	30200	31200	0.3714	-0.1051
CP003879.1	30400	31400	0.3594	-0.0919
CP003879.1	30600	31600	0.3714	-0.0458
CP003879.1	30800	31800	0.3584	-0.0279
CP003879.1	31000	32000	0.3574	-0.0252
CP003879.1	31200	32200	0.3463	0.0231
CP003879.1	31400	32400	0.3473	0.0720
CP003879.1	31600	32600	0.3443	0.0640
CP003879.1	31800	32800	0.3473	0.0663
CP003879.1	32000	33000	0.3624	0.0552
CP003879.1	32200	33200	0.3604	0.0500
CP003879.1	32400	33400	0.3504	0.0800
CP003879.1	32600	33600	0.3423	-0.0117
CP003879.1	32800	33800	0.3373	-0.0208
CP003879.1	33000	34000	0.3223	-0.0621
CP003879.1	33200	34200	0.3153	-0.1048
CP003879.1	33400	34400	0.3213	-0.1589
CP003879.1	33600	34600	0.3263	-0.1104
CP003879.1	33800	34800	0.3303	-0.0909
CP003879.1	34000	35000	0.3293	-0.0760
CP003879.1	34200	35200	0.3353	-0.0567
CP003879.1	34400	35400	0.3263	-0.0307
CP003879.1	34600	35600	0.3173	-0.0032
CP003879.1	34800	35800	0.3153	-0.0159
CP003879.1	35000	36000	0.3473	0.0432
CP003879.1	35200	36200	0.3534	0.0482
CP003879.1	35400	36400	0.3564	0.0562
CP003879.1	35600	36600	0.3554	0.0648
CP003879.1	35800	36800	0.3564	0.0506
CP003879.1	36000	37000	0.3173	0.0032
CP003879.1	36200	37200	0.2933	0.0034
CP003879.1	36400	37400	0.2913	0.0241
CP003879.1	36600	37600	0.2943	-0.0408
CP003879.1	36800	37800	0.3113	-0.0740
CP003879.1	37000	38000	0.3323	-0.0542
CP003879.1	37200	38200	0.3654	-0.0959
CP003879.1	37400	38400	0.3674	-0.1608
CP003879.1	37600	38600	0.3704	-0.1784
CP003879.1	37800	38800	0.3574	-0.1485
CP003879.1	38000	39000	0.3473	-0.1700
CP003879.1	38200	39200	0.3353	-0.1284
CP003879.1	38400	39400	0.3393	-0.1681
CP003879.1	38600	39600	0.3313	-0.1480
CP003879.1	38800	39800	0.3073	-0.1466
CP003879.1	39000	40000	0.2973	-0.1582
CP003879.1	39200	40200	0.3003	-0.1267
CP003879.1	39400	40400	0.2943	-0.0612
CP003879.1	39600	40600	0.3003	0.0200
CP003879.1	39800	40800	0.3223	-0.0186
CP003879.1	40000	41000	0.3293	0.0152
CP003879.1	40200	41200	0.3313	-0.0332
CP003879.1	40400	41400	0.3423	-0.0175
CP003879.1	40600	41600	0.3393	-0.0265
CP003879.1	40800	41800	0.3463	0.0000
CP003879.1	41000	42000	0.3293	-0.0030
CP003879.1	41200	42200	0.3473	-0.0259
CP003879.1	41400	42400	0.3493	0.0029
CP003879.1	41600	42600	0.3524	0.0000
CP003879.1	41800	42800	0.3594	0.0362
CP003879.1	42000	43000	0.3884	0.0670
CP003879.1	42200	43200	0.3804	0.0947
CP003879.1	42400	43400	0.3794	0.0976
CP003879.1	42600	43600	0.3844	0.0729
CP003879.1	42800	43800	0.3804	0.0421
CP003879.1	43000	44000	0.3794	-0.0132
CP003879.1	43200	44200	0.3664	0.0055
CP003879.1	43400	44400	0.3604	-0.0944
CP003879.1	43600	44600	0.3514	-0.0940
CP003879.1	43800	44800	0.3383	-0.1302
CP003879.1	44000	45000	0.3303	-0.0727
CP003879.1	44200	45200	0.3363	-0.1012
CP003879.1	44400	45400	0.3173	-0.0095
CP003879.1	44600	45600	0.3313	-0.0272
CP003879.1	44800	45800	0.3413	0.0147
CP003879.1	45000	46000	0.3473	0.0086
CP003879.1	45200	46200	0.3413	0.0088
CP003879.1	45400	46400	0.3614	-0.0083
CP003879.1	45600	46600	0.3664	0.0492
CP003879.1	45800	46800	0.3724	0.0538
CP003879.1	46000	47000	0.3784	0.0212
CP003879.1	46200	47200	0.3984	0.0302
CP003879.1	46400	47400	0.3944	0.0609
CP003879.1	46600	47600	0.3834	0.0183
CP003879.1	46800	47800	0.3834	0.0339
CP003879.1	47000	48000	0.3744	0.0535
CP003879.1	47200	48200	0.3564	0.0674
CP003879.1	47400	48400	0.3644	0.0110
CP003879.1	47600	48600	0.3734	0.0027
CP003879.1	47800	48800	0.3714	-0.0782
CP003879.1	48000	49000	0.3794	-0.0818
CP003879.1	48200	49200	0.3734	-0.1421
CP003879.1	48400	49400	0.3624	-0.1160
CP003879.1	48600	49600	0.3313	-0.0997
CP003879.1	48800	49800	0.3213	-0.0031
CP003879.1	49000	50000	0.3103	-0.0194
CP003879.1	49200	50200	0.3093	0.0485
CP003879.1	49400	50400	0.3073	0.0293
CP003879.1	49600	50600	0.3113	-0.0032
CP003879.1	49800	50800	0.3093	-0.0615
CP003879.1	50000	51000	0.2983	-0.1007
CP003879.1	50200	51200	0.3003	-0.1600
CP003879.1	50400	51400	0.3003	-0.1600
CP003879.1	50600	51600	0.2943	-0.1701
CP003879.1	50800	51800	0.3013	-0.1030
CP003879.1	51000	52000	0.3203	-0.0625
CP003879.1	51200	52200	0.3313	0.0332
CP003879.1	51400	52400	0.3443	0.0756
CP003879.1	51600	52600	0.3604	0.0667
CP003879.1	51800	52800	0.3664	0.0492
CP003879.1	52000	53000	0.3674	0.0627
CP003879.1	52200	53200	0.3664	0.0219
CP003879.1	52400	53400	0.3754	0.0133
CP003879.1	52600	53600	0.3874	0.0956
CP003879.1	52800	53800	0.3804	0.0947
CP003879.1	53000	54000	0.3844	0.1198
CP003879.1	53200	54200	0.3894	0.1877
CP003879.1	53400	54400	0.3744	0.1818
CP003879.1	53600	54600	0.3704	0.1459
CP003879.1	53800	54800	0.3564	0.1685
CP003879.1	54000	55000	0.3343	0.1976
CP003879.1	54200	55200	0.3343	0.1677
CP003879.1	54400	55400	0.3293	0.1915
CP003879.1	54600	55600	0.3293	0.1611
CP003879.1	54800	55800	0.3544	0.1469
CP003879.1	55000	56000	0.3734	0.0777
CP003879.1	55200	56200	0.3524	0.0284
CP003879.1	55400	56400	0.3493	-0.0372
CP003879.1	55600	56600	0.3423	-0.0351
CP003879.1	55800	56800	0.3373	-0.0979
CP003879.1	56000	57000	0.3473	-0.0720
CP003879.1	56200	57200	0.3493	-0.0659
CP003879.1	56400	57400	0.3554	-0.0479
CP003879.1	56600	57600	0.3554	-0.0366
CP003879.1	56800	57800	0.3694	-0.0298
CP003879.1	57000	58000	0.3584	-0.0503
CP003879.1	57200	58200	0.3794	-0.0554
CP003879.1	57400	58400	0.3814	-0.0184
CP003879.1	57600	58600	0.3744	0.0053
CP003879.1	57800	58800	0.3514	0.0313
CP003879.1	58000	59000	0.3564	0.0393
CP003879.1	58200	59200	0.3443	0.0291
CP003879.1	58400	59400	0.3473	-0.0375
CP003879.1	58600	59600	0.3544	-0.1243
CP003879.1	58800	59800	0.3674	-0.1008
CP003879.1	59000	60000	0.3664	-0.1366
CP003879.1	59200	60200	0.3654	-0.1123
CP003879.1	59400	60400	0.3493	-0.0201
CP003879.1	59600	60600	0.3554	-0.0028
CP003879.1	59800	60800	0.3514	-0.0484
CP003879.1	60000	61000	0.3554	-0.0535
CP003879.1	60200	61200	0.3514	-0.0256
CP003879.1	60400	61400	0.3604	-0.0833
CP003879.1	60600	61600	0.3664	-0.0929
CP003879.1	60800	61800	0.3724	-0.0806
CP003879.1	61000	62000	0.3544	-0.0113
CP003879.1	61200	62200	0.3463	-0.0231
CP003879.1	61400	62400	0.3423	-0.0409
CP003879.1	61600	62600	0.3173	0.0095
CP003879.1	61800	62800	0.3203	0.0437
CP003879.1	62000	63000	0.3123	-0.0192
CP003879.1	62200	63200	0.3233	-0.0341
CP003879.1	62400	63400	0.3323	-0.0964
CP003879.1	62600	63600	0.3544	-0.1186
CP003879.1	62800	63800	0.3423	-0.1520
CP003879.1	63000	64000	0.3574	-0.1541
CP003879.1	63200	64200	0.3544	-0.1412
CP003879.1	63400	64400	0.3534	-0.0992
CP003879.1	63600	64600	0.3383	-0.0828
CP003879.1	63800	64800	0.3403	-0.0706
CP003879.1	64000	65000	0.3473	-0.0836
CP003879.1	64200	65200	0.3323	-0.0361
CP003879.1	64400	65400	0.3123	0.0256
CP003879.1	64600	65600	0.3213	-0.0156
CP003879.1	64800	65800	0.3263	-0.0491
CP003879.1	65000	66000	0.3163	-0.0443
CP003879.1	65200	66200	0.3443	-0.0872
CP003879.1	65400	66400	0.3704	-0.1351
CP003879.1	65600	66600	0.3584	-0.1229
CP003879.1	65800	66800	0.3544	-0.1073
CP003879.1	66000	67000	0.3524	-0.0909
CP003879.1	66200	67200	0.3453	-0.1246
CP003879.1	66400	67400	0.3433	-0.0671
CP003879.1	66600	67600	0.3644	-0.1154
CP003879.1	66800	67800	0.3734	-0.1421
CP003879.1	67000	68000	0.3864	-0.1554
CP003879.1	67200	68200	0.3824	-0.1832
CP003879.1	67400	68400	0.3764	-0.2287
CP003879.1	67600	68600	0.3584	-0.2011
CP003879.1	67800	68800	0.3453	-0.2058
CP003879.1	68000	69000	0.3313	-0.2024
CP003879.1	68200	69200	0.3433	-0.1720
CP003879.1	68400	69400	0.3493	-0.1404
CP003879.1	68600	69600	0.3664	-0.1421
CP003879.1	68800	69800	0.3774	-0.0981
CP003879.1	69000	70000	0.3794	-0.0554
CP003879.1	69200	70200	0.3814	-0.0551
CP003879.1	69400	70400	0.3834	-0.0809
CP003879.1	69600	70600	0.3694	-0.1111
CP003879.1	69800	70800	0.3844	-0.1562
CP003879.1	70000	71000	0.3904	-0.2359
CP003879.1	70200	71200	0.3844	-0.2552
CP003879.1	70400	71400	0.3694	-0.2358
CP003879.1	70600	71600	0.3864	-0.2021
CP003879.1	70800	71800	0.3744	-0.2086
CP003879.1	71000	72000	0.3794	-0.1451
CP003879.1	71200	72200	0.3664	-0.0874
CP003879.1	71400	72400	0.3634	-0.0799
CP003879.1	71600	72600	0.3483	-0.0862
CP003879.1	71800	72800	0.3323	-0.0120
CP003879.1	72000	73000	0.3253	-0.0092
CP003879.1	72200	73200	0.3313	-0.0151
CP003879.1	72400	73400	0.3453	0.0145
CP003879.1	72600	73600	0.3634	-0.0138
CP003879.1	72800	73800	0.3794	-0.0343
CP003879.1	73000	74000	0.3744	0.0000
CP003879.1	73200	74200	0.3714	0.0027
CP003879.1	73400	74400	0.3834	-0.0339
CP003879.1	73600	74600	0.3744	0.0321
CP003879.1	73800	74800	0.3734	0.0080
CP003879.1	74000	75000	0.3764	-0.0691
CP003879.1	74200	75200	0.3864	-0.0984
CP003879.1	74400	75400	0.3774	-0.0981
CP003879.1	74600	75600	0.3724	-0.1237
CP003879.1	74800	75800	0.3584	-0.0950
CP003879.1	75000	76000	0.3413	-0.0557
CP003879.1	75200	76200	0.3323	-0.0663
CP003879.1	75400	76400	0.3343	-0.1138
CP003879.1	75600	76600	0.3363	-0.1012
CP003879.1	75800	76800	0.3514	-0.0940
CP003879.1	76000	77000	0.3654	-0.0685
CP003879.1	76200	77200	0.3594	-0.0529
CP003879.1	76400	77400	0.3433	-0.0262
CP003879.1	76600	77600	0.3353	-0.0687
CP003879.1	76800	77800	0.3203	-0.0750
CP003879.1	77000	78000	0.3193	-0.0658
CP003879.1	77200	78200	0.3193	-0.0721
CP003879.1	77400	78400	0.3353	-0.0806
CP003879.1	77600	78600	0.3463	0.0000
CP003879.1	77800	78800	0.3343	-0.0240
CP003879.1	78000	79000	0.3213	-0.0031
CP003879.1	78200	79200	0.3043	0.0329
CP003879.1	78400	79400	0.2813	0.0463
CP003879.1	78600	79600	0.2763	-0.0435
CP003879.1	78800	79800	0.2813	-0.0178
CP003879.1	79000	80000	0.2953	-0.1119
CP003879.1	79200	80200	0.3353	-0.1284
CP003879.1	79400	80400	0.3614	-0.1524
CP003879.1	79600	80600	0.3644	-0.1264
CP003879.1	79800	80800	0.3804	-0.1632
CP003879.1	80000	81000	0.3654	-0.1452
CP003879.1	80200	81200	0.3453	-0.1536
CP003879.1	80400	81400	0.3383	-0.1479
CP003879.1	80600	81600	0.3243	-0.1235
CP003879.1	80800	81800	0.3243	-0.1173
CP003879.1	81000	82000	0.3333	-0.0871
CP003879.1	81200	82200	0.3493	-0.0602
CP003879.1	81400	82400	0.3544	0.0000
CP003879.1	81600	82600	0.3554	-0.0310
CP003879.1	81800	82800	0.3504	0.0286
CP003879.1	82000	83000	0.3514	0.0484
CP003879.1	82200	83200	0.3303	0.0727
CP003879.1	82400	83400	0.3153	0.0349
CP003879.1	82600	83600	0.3173	0.0473
CP003879.1	82800	83800	0.3093	-0.0032
CP003879.1	83000	84000	0.3143	-0.0573
CP003879.1	83200	84200	0.3273	-0.1437
CP003879.1	83400	84400	0.3433	-0.1487
CP003879.1	83600	84600	0.3493	-0.1175
CP003879.1	83800	84800	0.3564	-0.0674
CP003879.1	84000	85000	0.3443	-0.0291
CP003879.1	84200	85200	0.3483	-0.0057
CP003879.1	84400	85400	0.3473	0.0202
CP003879.1	84600	85600	0.3433	-0.0087
CP003879.1	84800	85800	0.3453	-0.0377
CP003879.1	85000	86000	0.3724	-0.0645
CP003879.1	85200	86200	0.3734	-0.0938
CP003879.1	85400	86400	0.3674	-0.1008
CP003879.1	85600	86600	0.3734	-0.1475
CP003879.1	85800	86800	0.3684	-0.1630
CP003879.1	86000	87000	0.3614	-0.1468
CP003879.1	86200	87200	0.3554	-0.1493
CP003879.1	86400	87400	0.3634	-0.1405
CP003879.1	86600	87600	0.3684	-0.0978
CP003879.1	86800	87800	0.3644	-0.0989
CP003879.1	87000	88000	0.3574	-0.0476
CP003879.1	87200	88200	0.3574	0.0588
CP003879.1	87400	88400	0.3463	0.0289
CP003879.1	87600	88600	0.3273	0.0642
CP003879.1	87800	88800	0.3203	0.1250
CP003879.1	88000	89000	0.3203	0.1062
CP003879.1	88200	89200	0.3173	0.0536
CP003879.1	88400	89400	0.3213	0.0592
CP003879.1	88600	89600	0.3253	0.0277
CP003879.1	88800	89800	0.3463	-0.0636
CP003879.1	89000	90000	0.3343	-0.1078
CP003879.1	89200	90200	0.3203	-0.1313
CP003879.1	89400	90400	0.3033	-0.1221
CP003879.1	89600	90600	0.2993	-0.0970
CP003879.1	89800	90800	0.2853	-0.0877
CP003879.1	90000	91000	0.2993	-0.0569
CP003879.1	90200	91200	0.3143	-0.0573
CP003879.1	90400	91400	0.3303	0.0242
CP003879.1	90600	91600	0.3433	0.0087
CP003879.1	90800	91800	0.3433	0.0496
CP003879.1	91000	92000	0.3473	0.0432
CP003879.1	91200	92200	0.3554	0.0648
CP003879.1	91400	92400	0.3564	0.0449
CP003879.1	91600	92600	0.3493	0.1175
CP003879.1	91800	92800	0.3504	0.0971
CP003879.1	92000	93000	0.3574	0.1204
CP003879.1	92200	93200	0.3594	0.1922
CP003879.1	92400	93400	0.3584	0.1453
CP003879.1	92600	93600	0.3654	0.1562
CP003879.1	92800	93800	0.3684	0.1902
CP003879.1	93000	94000	0.3534	0.2125
CP003879.1	93200	94200	0.3493	0.1805
CP003879.1	93400	94400	0.3514	0.1795
CP003879.1	93600	94600	0.3453	0.1304
CP003879.1	93800	94800	0.3333	0.0991
CP003879.1	94000	95000	0.3253	0.0831
CP003879.1	94200	95200	0.3083	0.0390
CP003879.1	94400	95400	0.2833	0.0601
CP003879.1	94600	95600	0.2713	0.0258
CP003879.1	94800	95800	0.2873	0.0383
CP003879.1	95000	96000	0.2963	-0.0473
CP003879.1	95200	96200	0.3003	-0.0533
CP003879.1	95400	96400	0.3323	-0.0843
CP003879.1	95600	96600	0.3514	-0.0313
CP003879.1	95800	96800	0.3463	-0.0289
CP003879.1	96000	97000	0.3403	0.0235
CP003879.1	96200	97200	0.3413	0.0381
CP003879.1	96400	97400	0.3173	0.0978
CP003879.1	96600	97600	0.3023	0.0397
CP003879.1	96800	97800	0.3013	0.0498
CP003879.1	97000	98000	0.3033	0.0627
CP003879.1	97200	98200	0.3053	0.0754
CP003879.1	97400	98400	0.3263	0.0736
CP003879.1	97600	98600	0.3313	0.1118
CP003879.1	97800	98800	0.3393	0.1327
CP003879.1	98000	99000	0.3343	0.1617
CP003879.1	98200	99200	0.3393	0.1799
CP003879.1	98400	99400	0.3263	0.1840
CP003879.1	98600	99600	0.3293	0.1550
CP003879.1	98800	99800	0.3253	0.1631
CP003879.1	99000	100000	0.3293	0.1489
CP003879.1	99200	100200	0.3233	0.1207
CP003879.1	99400	100400	0.3233	0.0836
CP003879.1	99600	100600	0.2993	0.0970
CP003879.1	99800	100800	0.3053	0.0623
CP003879.1	100000	101000	0.2953	0.0305
CP003879.1	100200	101200	0.2963	0.0270
CP003879.1	100400	101400	0.2933	0.0512
CP003879.1	100600	101600	0.3123	0.0897
CP003879.1	100800	101800	0.3113	0.0868
CP003879.1	101000	102000	0.3083	0.0649
CP003879.1	101200	102200	0.3133	0.0351
CP003879.1	101400	102400	0.3023	0.0728
CP003879.1	101600	102600	0.3193	0.0408
CP003879.1	101800	102800	0.3153	0.0603
CP003879.1	102000	103000	0.3403	0.1471
CP003879.1	102200	103200	0.3403	0.1824
CP003879.1	102400	103400	0.3544	0.1582
CP003879.1	102600	103600	0.3283	0.1524
CP003879.1	102800	103800	0.3293	0.1003
CP003879.1	103000	104000	0.3283	0.0488
CP003879.1	103200	104200	0.3363	0.0000
CP003879.1	103400	104400	0.3433	-0.0379
CP003879.1	103600	104600	0.3624	-0.0221
CP003879.1	103800	104800	0.3674	-0.0136
CP003879.1	104000	105000	0.3794	-0.0396
CP003879.1	104200	105200	0.3694	-0.0190
CP003879.1	104400	105400	0.3674	0.0136
CP003879.1	104600	105600	0.3544	0.0169
CP003879.1	104800	105800	0.3594	0.0084
CP003879.1	105000	106000	0.3343	0.0479
CP003879.1	105200	106200	0.3283	0.0671
CP003879.1	105400	106400	0.3243	0.0370
CP003879.1	105600	106600	0.3443	-0.0349
CP003879.1	105800	106800	0.3393	-0.0855
CP003879.1	106000	107000	0.3554	-0.0986
CP003879.1	106200	107200	0.3674	-0.1335
CP003879.1	106400	107400	0.3624	-0.1050
CP003879.1	106600	107600	0.3443	-0.0698
CP003879.1	106800	107800	0.3423	-0.0468
CP003879.1	107000	108000	0.3323	-0.0964
CP003879.1	107200	108200	0.3353	-0.0746
CP003879.1	107400	108400	0.3333	-0.1051
CP003879.1	107600	108600	0.3363	-0.0655
CP003879.1	107800	108800	0.3193	-0.0408
CP003879.1	108000	109000	0.3143	0.0064
CP003879.1	108200	109200	0.2963	0.0068
CP003879.1	108400	109400	0.3113	0.0932
CP003879.1	108600	109600	0.3123	0.0833
CP003879.1	108800	109800	0.3303	0.1394
CP003879.1	109000	110000	0.3373	0.1751
CP003879.1	109200	110200	0.3373	0.1691
CP003879.1	109400	110400	0.3153	0.1302
CP003879.1	109600	110600	0.3033	0.0825
CP003879.1	109800	110800	0.2953	0.0644
CP003879.1	110000	111000	0.2773	-0.0036
CP003879.1	110200	111200	0.2623	-0.0458
CP003879.1	110400	111400	0.2853	-0.1509
CP003879.1	110600	111600	0.2903	-0.1172
CP003879.1	110800	111800	0.2833	-0.1590
CP003879.1	111000	112000	0.2793	-0.1613
CP003879.1	111200	112200	0.2943	-0.1293
CP003879.1	111400	112400	0.2753	-0.0982
CP003879.1	111600	112600	0.2713	-0.1439
CP003879.1	111800	112800	0.2793	-0.1111
CP003879.1	112000	113000	0.2973	-0.0438
CP003879.1	112200	113200	0.3163	0.0000
CP003879.1	112400	113400	0.3243	0.1111
CP003879.1	112600	113600	0.3453	0.1188
CP003879.1	112800	113800	0.3584	0.1006
CP003879.1	113000	114000	0.3614	0.0748
CP003879.1	113200	114200	0.3393	0.0796
CP003879.1	113400	114400	0.3253	0.0031
CP003879.1	113600	114600	0.3213	0.0530
CP003879.1	113800	114800	0.3073	0.0814
CP003879.1	114000	115000	0.3063	0.0523
CP003879.1	114200	115200	0.3263	0.0675
CP003879.1	114400	115400	0.3403	0.0824
CP003879.1	114600	115600	0.3413	0.0205
CP003879.1	114800	115800	0.3473	0.0086
CP003879.1	115000	116000	0.3514	-0.0085
CP003879.1	115200	116200	0.3313	-0.0755
CP003879.1	115400	116400	0.3403	-0.0588
CP003879.1	115600	116600	0.3463	0.0809
CP003879.1	115800	116800	0.3493	0.0888
CP003879.1	116000	117000	0.3564	0.1404
CP003879.1	116200	117200	0.3724	0.1720
CP003879.1	116400	117400	0.3704	0.1514
CP003879.1	116600	117600	0.3644	0.0824
CP003879.1	116800	117800	0.3714	0.0296
CP003879.1	117000	118000	0.3744	0.0214
CP003879.1	117200	118200	0.3694	0.0298
CP003879.1	117400	118400	0.3724	-0.0323
CP003879.1	117600	118600	0.3644	-0.1429
CP003879.1	117800	118800	0.3624	-0.1215
CP003879.1	118000	119000	0.3403	-0.1294
